title,studio,domestic_gross,foreign_gross,year,movie_id,start_year,runtime_minutes,genres,averagerating,numvotes,production_budget,total_gross,worldwide_gross,roi,budget_tier,total_revenue
The Karate Kid,Sony,176600000.0,182500000.0,2010,tt1155076,2010,140.0,Family,6.2,146401,8000000.0,359100000.0,359100000.0,43.8875,Low Budget(<$10M),359100000.0
Black Swan,FoxS,107000000.0,222400000.0,2010,tt0947798,2010,108.0,Drama,8.0,648854,13000000.0,329400000.0,329400000.0,24.338461538461537,Mid Budget($10M-$25M),329400000.0
Black Swan,FoxS,107000000.0,222400000.0,2010,tt0947798,2010,108.0,Thriller,8.0,648854,13000000.0,329400000.0,329400000.0,24.338461538461537,Mid Budget($10M-$25M),329400000.0
Megamind,P/DW,148400000.0,173500000.0,2010,tt1001526,2010,95.0,Action,7.3,207488,130000000.0,321900000.0,321900000.0,1.4761538461538461,High Budget(>$25M),321900000.0
Megamind,P/DW,148400000.0,173500000.0,2010,tt1001526,2010,95.0,Animation,7.3,207488,130000000.0,321900000.0,321900000.0,1.4761538461538461,High Budget(>$25M),321900000.0
Megamind,P/DW,148400000.0,173500000.0,2010,tt1001526,2010,95.0,Comedy,7.3,207488,130000000.0,321900000.0,321900000.0,1.4761538461538461,High Budget(>$25M),321900000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Action,6.6,239480,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Adventure,6.6,239480,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Drama,6.6,239480,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Action,6.6,239480,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Adventure,6.6,239480,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt0955308,2010,140.0,Drama,6.6,239480,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt2363363,2013,92.0,Action,6.3,78,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt2363363,2013,92.0,Drama,6.3,78,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt2363363,2013,92.0,Action,6.3,78,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt2363363,2013,92.0,Drama,6.3,78,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt4532826,2018,116.0,Action,5.3,41588,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt4532826,2018,116.0,Adventure,5.3,41588,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt4532826,2018,116.0,Thriller,5.3,41588,210000000.0,321700000.0,321700000.0,0.5319047619047619,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt4532826,2018,116.0,Action,5.3,41588,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt4532826,2018,116.0,Adventure,5.3,41588,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,tt4532826,2018,116.0,Thriller,5.3,41588,99000000.0,321700000.0,321700000.0,2.2494949494949497,High Budget(>$25M),321700000.0
The Last Airbender,Par.,131800000.0,187900000.0,2010,tt0938283,2010,103.0,Action,4.1,137734,150000000.0,319700000.0,319700000.0,1.1313333333333333,High Budget(>$25M),319700000.0
The Last Airbender,Par.,131800000.0,187900000.0,2010,tt0938283,2010,103.0,Adventure,4.1,137734,150000000.0,319700000.0,319700000.0,1.1313333333333333,High Budget(>$25M),319700000.0
The Last Airbender,Par.,131800000.0,187900000.0,2010,tt0938283,2010,103.0,Family,4.1,137734,150000000.0,319700000.0,319700000.0,1.1313333333333333,High Budget(>$25M),319700000.0
Little Fockers,Uni.,148400000.0,162200000.0,2010,tt0970866,2010,98.0,Comedy,5.5,99222,100000000.0,310600000.0,310600000.0,2.106,High Budget(>$25M),310600000.0
Little Fockers,Uni.,148400000.0,162200000.0,2010,tt0970866,2010,98.0,Romance,5.5,99222,100000000.0,310600000.0,310600000.0,2.106,High Budget(>$25M),310600000.0
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,tt1220634,2010,96.0,Action,5.9,153270,57500000.0,300200000.0,300200000.0,4.2208695652173915,High Budget(>$25M),300200000.0
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,tt1220634,2010,96.0,Adventure,5.9,153270,57500000.0,300200000.0,300200000.0,4.2208695652173915,High Budget(>$25M),300200000.0
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,tt1220634,2010,96.0,Horror,5.9,153270,57500000.0,300200000.0,300200000.0,4.2208695652173915,High Budget(>$25M),300200000.0
Shutter Island,Par.,128000000.0,166800000.0,2010,tt1130884,2010,138.0,Mystery,8.1,1005960,80000000.0,294800000.0,294800000.0,2.685,High Budget(>$25M),294800000.0
Shutter Island,Par.,128000000.0,166800000.0,2010,tt1130884,2010,138.0,Thriller,8.1,1005960,80000000.0,294800000.0,294800000.0,2.685,High Budget(>$25M),294800000.0
Salt,Sony,118300000.0,175200000.0,2010,tt0944835,2010,100.0,Action,6.4,277204,130000000.0,293500000.0,293500000.0,1.2576923076923077,High Budget(>$25M),293500000.0
Salt,Sony,118300000.0,175200000.0,2010,tt0944835,2010,100.0,Mystery,6.4,277204,130000000.0,293500000.0,293500000.0,1.2576923076923077,High Budget(>$25M),293500000.0
Salt,Sony,118300000.0,175200000.0,2010,tt0944835,2010,100.0,Thriller,6.4,277204,130000000.0,293500000.0,293500000.0,1.2576923076923077,High Budget(>$25M),293500000.0
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,tt1261945,2010,146.0,Comedy,4.4,69199,95000000.0,288300000.0,288300000.0,2.034736842105263,High Budget(>$25M),288300000.0
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,tt1261945,2010,146.0,Drama,4.4,69199,95000000.0,288300000.0,288300000.0,2.034736842105263,High Budget(>$25M),288300000.0
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,tt1261945,2010,146.0,Romance,4.4,69199,95000000.0,288300000.0,288300000.0,2.034736842105263,High Budget(>$25M),288300000.0
The Tourist,Sony,67600000.0,210700000.0,2010,tt1243957,2010,103.0,Action,6.0,206714,100000000.0,278300000.0,278300000.0,1.783,High Budget(>$25M),278300000.0
The Tourist,Sony,67600000.0,210700000.0,2010,tt1243957,2010,103.0,Adventure,6.0,206714,100000000.0,278300000.0,278300000.0,1.783,High Budget(>$25M),278300000.0
The Tourist,Sony,67600000.0,210700000.0,2010,tt1243957,2010,103.0,Thriller,6.0,206714,100000000.0,278300000.0,278300000.0,1.783,High Budget(>$25M),278300000.0
The Expendables,LGF,103100000.0,171400000.0,2010,tt1320253,2010,103.0,Action,6.5,307897,82000000.0,274500000.0,274500000.0,2.347560975609756,High Budget(>$25M),274500000.0
The Expendables,LGF,103100000.0,171400000.0,2010,tt1320253,2010,103.0,Adventure,6.5,307897,82000000.0,274500000.0,274500000.0,2.347560975609756,High Budget(>$25M),274500000.0
The Expendables,LGF,103100000.0,171400000.0,2010,tt1320253,2010,103.0,Thriller,6.5,307897,82000000.0,274500000.0,274500000.0,2.347560975609756,High Budget(>$25M),274500000.0
Grown Ups,Sony,162000000.0,109400000.0,2010,tt1375670,2010,102.0,Comedy,6.0,210377,75000000.0,271400000.0,271400000.0,2.6186666666666665,High Budget(>$25M),271400000.0
